GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Dummy,default,Catalogue,0,34,0,2,0,10,0,7,0,6
Dummy,default,User,0,80,0,6,0,21,0,5,0,2
Dummy,default,Book,0,84,0,8,0,24,0,7,0,3
Dummy,default,AuthorFilter,0,41,0,6,0,11,0,5,0,2
Dummy,default,FacadeFilter,0,47,0,0,0,10,0,5,0,5
Dummy,default,Genre,0,9,0,0,0,4,0,1,0,1
Dummy,default,Library,6,278,2,36,3,68,2,24,0,7
Dummy,default,YearFilter,0,40,0,6,0,12,0,5,0,2
Dummy,default,GenreFilter,0,37,0,6,0,11,0,5,0,2
Dummy,default,TitleFilter,0,41,0,6,0,11,0,5,0,2
